Sparsifying Matrix,Algorithm,mean_PRD,mean_NMSE,mean_SNDR,mean_Time_s
CS,BPDN,6.5932327117272385,0.06593232711727236,15.157130868859264,1.7318633556365968
CS,OMP,5.27119971412628,0.05271199714126279,16.699763252841297,2.094551327475186
DCT,BPDN,5.975572536593452,0.05975572536593445,15.619459992224161,0.8028211228600863
DCT,OMP,4.766999874911168,0.047669998749111625,17.514032722800515,1.3590699192573283
DST,BPDN,5.9646541047891946,0.05964654104789194,15.65335565554257,0.8126213123058451
DST,OMP,6.64510969427622,0.06645109694276219,15.198872114314849,1.397175997043478
Gabor,BPDN,7.28080897660693,0.07280808976606937,14.707853141099356,24.132964830727413
Gabor,OMP,13.872489615964966,0.13872489615964984,12.572647386367422,23.60449232364523
ICS,BPDN,6.915356602437686,0.06915356602437685,14.936037515533982,2.072267749720606
ICS,OMP,7.633732079871832,0.07633732079871838,15.3952711542916,3.163566562060652
Wavelet,BPDN,7.499564195502643,0.07499564195502657,14.662898497106992,0.9734739050371893
Wavelet,OMP,29.157114983976548,0.2915711498397655,9.284064657004164,1.2220608908554604
