,DCT,DST,CS,ICS,Gabor,Wavelet
Gaussian,4.780676221118923,4.7212252536716415,4.780676221118923,5.014335668345149,5.2693160100746255,5.0638548962160765
Bernoulli,4.482329291062971,4.5007633434736,4.5007633434736,4.5007633434736,4.812235808640845,3.6221466525564723
Undersampled,1.4142069068147713,1.4142069068147713,1.4142069068147713,22.627416997969522,22.570961561073837,22.627416997969522
BPBD,1.9999529383615402,1.9999529383615402,1.9999529383615402,16.0,22.49027216920773,22.4316902668771
SB,4.123105625617661,3.929721794567572,4.123105625617661,16.0,15.006629822972299,13.063945294843618
