Dataset,Channel,Sensing Matrix,Algorithm,PRD,NMSE,SNDR,Time (s)
chbmit,FP1-F7,Gaussian,OMP,68.43724908369342,0.6843724908369342,3.061336574138699,10.850472688674927
chbmit,F7-T7,Gaussian,OMP,159.4818131423245,1.594818131423245,0.23166012190403912,10.850472688674927
chbmit,T7-P7,Gaussian,OMP,122.27502776579777,1.2227502776579777,0.5471111757686585,10.850472688674927
chbmit,P7-O1,Gaussian,OMP,51.54147288469937,0.5154147288469937,3.393846108534201,10.850472688674927
chbmit,FP1-F3,Gaussian,OMP,95.03864770760677,0.9503864770760677,1.4703645237838316,10.850472688674927
chbmit,F3-C3,Gaussian,OMP,52.391744689680394,0.523917446896804,3.5052562591505203,10.850472688674927
chbmit,C3-P3,Gaussian,OMP,45.630743280143825,0.45630743280143826,4.091747030642266,10.850472688674927
chbmit,P3-O1,Gaussian,OMP,67.59724074456476,0.6759724074456476,2.5696384019374774,10.850472688674927
chbmit,FP2-F4,Gaussian,OMP,22.18484622664951,0.22184846226649507,7.415236819740221,10.850472688674927
chbmit,F4-C4,Gaussian,OMP,46.73322635371356,0.46733226353713564,4.390998876085865,10.850472688674927
chbmit,C4-P4,Gaussian,OMP,94.73379315029186,0.9473379315029186,1.8083913121256945,10.850472688674927
chbmit,P4-O2,Gaussian,OMP,91.11122210440065,0.9111122210440066,1.806032894838436,10.850472688674927
chbmit,FP2-F8,Gaussian,OMP,129.54412425022716,1.2954412425022714,1.0656123581438892,10.850472688674927
chbmit,F8-T8,Gaussian,OMP,99.26694977091128,0.9926694977091128,0.8915484800368416,10.850472688674927
chbmit,T8-P8,Gaussian,OMP,45.94971040251331,0.4594971040251331,4.07348428051774,10.850472688674927
chbmit,P8-O2,Gaussian,OMP,136.0494494808853,1.3604944948088529,-0.19326814970849923,10.850472688674927
chbmit,FZ-CZ,Gaussian,OMP,153.63603641058975,1.5363603641058976,-0.014757123956214086,10.850472688674927
chbmit,CZ-PZ,Gaussian,OMP,107.6579212949288,1.076579212949288,0.8945340025646066,10.850472688674927
chbmit,P7-T7,Gaussian,OMP,122.2750277657983,1.222750277657983,0.544070276863287,10.850472688674927
chbmit,T7-FT9,Gaussian,OMP,157.28339685267784,1.5728339685267785,-0.025871483230302472,10.850472688674927
chbmit,FT9-FT10,Gaussian,OMP,87.65205074555672,0.8765205074555672,1.5258283671510011,10.850472688674927
chbmit,FT10-T8,Gaussian,OMP,147.7102907230812,1.477102907230812,-0.27521514231382166,10.850472688674927
chbmit,FP1-F7,Gaussian,OMP,3.131961220250064,0.03131961220250064,15.15224057836798,11.428624153137207
chbmit,F7-T7,Gaussian,OMP,6.368757539846117,0.06368757539846116,12.04712041623255,11.428624153137207
