Dataset,Channel,Sensing Matrix,Algorithm,PRD,NMSE,SNDR,Time (s)
chbmit,FP1-F7,Gaussian,OMP,65.9599547351173,0.659599547351173,3.0340419014523228,0.8187909126281738
chbmit,F7-T7,Gaussian,OMP,160.2062543832163,1.6020625438321632,0.301255059934156,0.8187909126281738
chbmit,T7-P7,Gaussian,OMP,160.15618865291623,1.6015618865291623,0.5518890112797654,0.8187909126281738
chbmit,P7-O1,Gaussian,OMP,92.83486661771414,0.9283486661771414,1.5948887598376507,0.8187909126281738
chbmit,FP1-F3,Gaussian,OMP,119.53576704745292,1.1953576704745292,0.9921216261839244,0.8187909126281738
chbmit,F3-C3,Gaussian,OMP,61.33320798858779,0.6133320798858779,2.636495075305865,0.8187909126281738
chbmit,C3-P3,Gaussian,OMP,45.520054786725176,0.4552005478672517,4.249430249326817,0.8187909126281738
chbmit,P3-O1,Gaussian,OMP,52.167382441113475,0.5216738244111347,3.320500417612207,0.8187909126281738
chbmit,FP2-F4,Gaussian,OMP,15.231918365681771,0.1523191836568177,8.56351731618219,0.8187909126281738
chbmit,F4-C4,Gaussian,OMP,40.01172171560597,0.4001172171560597,4.700702074800592,0.8187909126281738
chbmit,C4-P4,Gaussian,OMP,82.72227197051919,0.8272227197051919,2.2636752073724775,0.8187909126281738
chbmit,P4-O2,Gaussian,OMP,77.50118857583965,0.7750118857583965,1.7529600361069035,0.8187909126281738
chbmit,FP2-F8,Gaussian,OMP,87.6929147868068,0.876929147868068,1.736816966440983,0.8187909126281738
chbmit,F8-T8,Gaussian,OMP,117.86608529419469,1.178660852941947,0.2563372298381006,0.8187909126281738
chbmit,T8-P8,Gaussian,OMP,56.52328656760102,0.5652328656760102,3.8282057884889475,0.8187909126281738
chbmit,P8-O2,Gaussian,OMP,156.02759212874915,1.5602759212874915,0.14247062482417094,0.8187909126281738
chbmit,FZ-CZ,Gaussian,OMP,104.277380998316,1.04277380998316,1.399186034937033,0.8187909126281738
chbmit,CZ-PZ,Gaussian,OMP,112.53516797741948,1.1253516797741947,1.0838355007154494,0.8187909126281738
chbmit,P7-T7,Gaussian,OMP,160.1561886529163,1.6015618865291632,0.554499013834922,0.8187909126281738
chbmit,T7-FT9,Gaussian,OMP,127.92556434221281,1.279255643422128,0.34838980860364216,0.8187909126281738
chbmit,FT9-FT10,Gaussian,OMP,100.0133099371294,1.000133099371294,1.4976391701762553,0.8187909126281738
chbmit,FT10-T8,Gaussian,OMP,143.72043111307147,1.4372043111307147,0.27030632003507254,0.8187909126281738
chbmit,FP1-F7,Gaussian,OMP,130.45133457625687,1.3045133457625686,0.6177188808310895,0.8005828857421875
chbmit,F7-T7,Gaussian,OMP,122.08059979160484,1.2208059979160484,1.5502165199227482,0.8005828857421875
chbmit,T7-P7,Gaussian,OMP,168.49132455691475,1.6849132455691476,0.36011387406484907,0.8005828857421875
chbmit,P7-O1,Gaussian,OMP,61.4853948021018,0.614853948021018,3.1207578436575636,0.8005828857421875
chbmit,FP1-F3,Gaussian,OMP,109.50796943460037,1.0950796943460037,1.6544488301960922,0.8005828857421875
chbmit,F3-C3,Gaussian,OMP,79.39656258108202,0.7939656258108202,2.449845063870872,0.8005828857421875
chbmit,C3-P3,Gaussian,OMP,62.81240969455135,0.6281240969455135,2.6682035804963036,0.8005828857421875
chbmit,P3-O1,Gaussian,OMP,45.45650269241875,0.45456502692418754,4.449255924269155,0.8005828857421875
